account_number,predicted_probability
100001,0.3991404980317365
100002,0.40495519093470816
100003,0.08139675436594945
100004,0.4826965682949508
100005,0.36376052367531125
100006,0.883467417966128
100007,0.02682324689735826
100008,0.43424381702304937
100009,0.47316678946487906
100010,0.6175112824814056
100011,0.47649060775297547
100012,0.6472411712391702
100013,0.01466519171373513
100014,0.00041735690079016226
100015,0.1546182187603678
100016,0.008913034451736135
100017,0.7543164331604403
100018,0.6906528508743406
100019,0.5266705294773203
100020,0.5438781504174216
100021,0.4565894704070088
100022,0.3548934542088228
100023,0.4652659374946017
100024,0.0032634709424071724
100025,0.15754985650569348
100026,0.38517248989232084
100027,0.22584102964506642
100028,0.4278235058901525
100029,0.38751824591148754
100030,0.6610889699868404
100031,0.603378280040671
100032,0.46614911350693394
100033,0.5236333507757159
100034,0.3342199247381167
100035,0.35276757936203995
100036,0.271330103724363
100037,0.695487394701713
100038,0.1828484523950524
100039,0.3427699468287796
100040,0.4839746504378203
100041,0.6792326227639994
100042,0.4462784543479984
100043,0.45780221602000754
100044,0.5857949220735825
100045,0.4325282706900436
100046,0.25777906528069766
100047,0.1408060797580269
100048,0.00034733572453677833
100049,0.06650850097549198
100050,0.23193072509293156
100051,0.009117428499913522
100052,0.42742527399682506
100053,0.45883766309169705
100054,1.1498369316641465e-05
100055,0.48286005061583404
100056,0.4092443962492489
100057,0.4531790488816708
100058,0.014657807582331941
100059,0.9406283364358052
100060,0.23220508743076226
100061,0.4199817877102367
100062,0.4568209656355414
100063,0.1315800976029953
100064,0.5394260801513044
100065,0.0008851822339914933
100066,0.31655258898750177
100067,0.10140951020051958
100068,0.40582230734545405
100069,0.686888009767857
100070,0.2584427094686243
100071,0.1806472145914832
100072,0.28915616500750224
100073,0.4234052881898118
100074,0.4641583743510826
100075,6.900959260537504e-06
100076,0.2527659003447131
100077,0.009674494510408515
100078,0.16755494949153313
100079,0.2329882290288107
100080,0.0447103971438748
100081,0.17118532786488047
100082,0.4320180409227732
100083,0.09297146295862779
100084,0.35655872097054536
100085,0.47415172662098654
100086,0.013088777275854805
100087,0.5012672319283017
100088,0.34123124626287404
100089,0.533745026663709
100090,0.6148686143230961
100091,0.7378468483161884
100092,0.500558835343959
100093,0.4441606062603611
100094,0.6870032483933352
100095,0.5346215814326868
100096,0.044465006985699544
100097,0.599293683246823
100098,0.02644328176611418
100099,0.5404684504700381
100100,0.7291505829790248
100101,0.5413939569033696
100102,0.37913921664148126
100103,0.23166066408900524
100104,0.33199071733821556
100105,0.4938114020318437
100106,0.48434546984976884
100107,0.6324862254711218
100108,0.09840923315591464
100109,0.4603787175324745
100110,0.39296982209236664
100111,0.5451813898457982
100112,0.25365194079623915
100113,0.15028171055542816
100114,0.5182528363961114
100115,0.49952162110671483
100116,0.4665538615818752
100117,0.2792664977202611
100118,0.4592526109427289
100119,0.7060715057449394
100120,0.3737579189561067
100121,0.612182328215997
100122,0.43018402089349234
100123,0.2629397349117361
100124,0.0008341214798299093
100125,0.8321048169296572
100126,0.002355010006048119
100127,0.057994355413742094
100128,0.612892768775793
100129,0.4313055765136108
100130,0.5559205588970539
100131,0.1896462238595922
100132,0.27707653148809536
100133,0.21789012545157208
100134,0.030559008578593307
100135,0.1927122980423505
100136,0.48031345142653253
100137,0.5807062202982263
100138,0.3006438634230342
100139,0.02852491854094108
100140,0.3929000238612935
100141,0.07530050494735918
100142,0.4341350014537227
100143,0.37383540795490344
100144,0.7156483702774029
100145,0.41726153971453295
100146,0.35041585755327803
100147,0.6234483695960896
100148,0.19111449022700394
100149,0.431375933481185
100150,0.7852080064669784
100151,0.6600108757869749
100152,0.30948211804319253
100153,0.35371971670521696
100154,0.7299519882930707
100155,0.24259742548836444
100156,0.09532536851862404
100157,0.571510116063421
100158,0.3928209009091993
100159,0.43435875390311185
100160,0.41012778008296935
100161,0.25122992469600924
100162,0.5014679605884814
100163,0.4317364862130533
100164,0.4992814727135393
100165,0.4491499353893038
100166,0.4793287752082339
100167,0.26002461974006996
100168,0.019745799330044073
100169,0.470295312052461
100170,0.4236253284192704
100171,0.3720235827820787
100172,0.3678894769065535
100173,0.5153784275503434
100174,0.9604108612362834
100175,0.47091853828140573
100176,0.16426349201321339
100177,0.4635258363469603
100178,0.5966736695147776
100179,0.4728805134864391
100180,0.4272272439984752
100181,0.4652435202115888
100182,0.5361675392072841
100183,0.3504422722414484
100184,0.4456264745857496
100185,0.4741721630398971
100186,0.008100204313124618
100187,0.9026072867086599
100188,0.6070384959872621
100189,0.4614604446064046
100190,0.44142758868915516
100191,0.05691484971125391
100192,0.3066754247802166
100193,0.4840843753021872
100194,0.09138706280517696
100195,0.5113908456021297
100196,0.14968784062840376
100197,1.9323259480267813e-06
100198,0.6405092601757629
100199,0.359974773840509
100200,0.4688951441254402
100201,0.5003840615432514
100202,0.37393573473473196
100203,0.6078353972452479
100204,0.5277041073713779
100205,0.45142070563283176
100206,0.4667435034057338
100207,0.4934672452941796
100208,0.37619159458513896
100209,0.3219721290040509
100210,0.5124516480359479
100211,0.688700438260264
100212,0.19211397051801418
100213,0.39965687196035965
100214,0.37601503365383915
100215,0.23744665300210355
100216,0.5193642082444117
100217,0.039779901687404265
100218,0.7149299522201781
100219,0.3316868548347305
100220,0.5962891985335691
100221,0.5227232669665312
100222,0.001635970575515049
100223,0.8205573712606331
100224,0.20964354635475846
100225,0.30989643189779714
100226,8.395574446075703e-05
100227,0.3790244835379641
100228,0.44896082956583167
100229,0.5850435458890857
100230,0.20416403934563548
100231,0.418207941184828
100232,0.5407968871543061
100233,0.2018402464137221
100234,0.04114174199157976
100235,0.15221073222118306
100236,0.41471753781690057
100237,0.4205320738596788
100238,0.5130972367832634
100239,0.3277308937501255
100240,0.5061941341096712
100241,0.5376807951905995
100242,0.000633322845351512
100243,0.5227659593145619
100244,0.005955289273585729
100245,6.537536234597248e-08
100246,0.3283772708964583
100247,0.764461755170644
100248,0.5094026961605074
100249,0.4509028759372834
100250,0.3205470547277357
100251,0.5475702196762583
100252,0.2102740321352019
100253,0.3609714077848781
100254,0.38004541658501284
100255,0.44236346860218634
100256,0.3391017504348948
100257,0.3407896773053883
100258,0.278875947801487
100259,0.4606843227750607
100260,0.45457628774869546
100261,0.49756919755019197
100262,0.37438149357907996
100263,0.4406152349986553
100264,0.07387066580584026
100265,0.407005371657962
100266,0.4581412797546199
100267,0.17660264903901426
100268,0.23055315352960523
100269,0.12004727731870875
100270,0.4653961131867162
100271,0.45463912994301686
100272,0.3315372843781293
100273,0.6013814247959666
100274,0.05215267226893975
100275,0.543170565883028
100276,0.8364519787741255
